Date,Open,High,Low,Adj Close,Volume,Prev Day,Target,Adj Close Change,headline_score
2023-12-11,255.0,257.6300048828125,255.0,254.57411193847656,6479300,253.800048828125,1,0.3049893465055131,0.3380492462052239
2023-12-12,257.29998779296875,259.7200012207031,256.3999938964844,257.5910949707031,5946600,254.57411193847656,1,1.185109911315596,0.27455998584628105
2023-12-13,259.1499938964844,262.4800109863281,258.69000244140625,260.3896789550781,4859900,257.5910949707031,1,1.0864443837599547,-0.3464483939684354
2023-12-14,263.19000244140625,263.25,256.3999938964844,256.7673645019531,8168700,260.3896789550781,0,-1.3911129149438817,-0.0970520642068651
2023-12-15,254.50999450683594,258.3699951171875,254.4499969482422,256.0726623535156,13373600,256.7673645019531,0,-0.2705570272861557,-0.00046254907335553853
2023-12-18,258.70001220703125,259.5899963378906,257.95001220703125,256.41009521484375,6041100,256.0726623535156,1,0.1317723095573209,-0.09417241110521204
2023-12-19,258.6099853515625,260.3399963378906,257.20001220703125,258.0177917480469,8731200,256.41009521484375,1,0.6270020421216493,0.006565608761527322
2023-12-20,260.5,260.82000732421875,257.0799865722656,255.1596221923828,7240900,258.0177917480469,0,-1.1077412671041897,0.017775632441043854
2023-12-21,257.510009765625,259.989990234375,257.0400085449219,257.57122802734375,6246700,255.1596221923828,1,0.945136152123105,-0.17066337168216705
2023-12-22,260.0,261.2099914550781,258.2200012207031,256.4696044921875,5111500,257.57122802734375,0,-0.4276966583547481,0.002703458070755005
2023-12-26,258.5299987792969,259.739990234375,258.5299987792969,257.194091796875,2085100,256.4696044921875,1,0.28248466562810215,-0.044631294906139374
2023-12-27,259.25,259.7699890136719,258.30999755859375,256.9658508300781,4034700,257.194091796875,0,-0.08874269436062177,-0.35196203655666775
2023-12-28,258.5400085449219,260.9700012207031,258.5400085449219,258.4246826171875,3020500,256.9658508300781,1,0.5677142633532473,0.3349193334579468
2023-12-29,260.57000732421875,261.4599914550781,259.6700134277344,258.3750915527344,4074600,258.4246826171875,0,-0.019189755386717078,-0.002405136823654175
2024-01-02,259.6099853515625,260.0899963378906,257.6700134277344,256.90631103515625,5471000,258.3750915527344,0,-0.5684683104517974,0.12571227550506592
2024-01-03,258.54998779296875,258.8599853515625,256.8599853515625,256.0230407714844,4148300,256.90631103515625,0,-0.3438102630149098,0.3156368202633328
2024-01-04,258.07000732421875,261.0400085449219,258.0,257.64068603515625,3843000,256.0230407714844,1,0.6318358139944635,-0.27161213755607605
2024-01-05,260.7799987792969,261.4599914550781,258.75,257.7200927734375,3748400,257.64068603515625,1,0.03082072925020274,0.1540395872933524
2024-01-08,260.94000244140625,262.6199951171875,259.95001220703125,260.5484619140625,4659000,257.7200927734375,1,1.097457753560338,-0.17429560919602713
2024-01-09,262.0,263.6199951171875,261.1400146484375,261.33245849609375,7055800,260.5484619140625,1,0.30090240267464097,0.427529376745224
2024-01-10,264.9700012207031,265.3699951171875,262.8599853515625,262.5531311035156,4355800,261.33245849609375,1,0.46709567362834825,-0.08618462085723877
2024-01-11,265.4599914550781,266.19000244140625,262.3999938964844,262.0271301269531,5599000,262.5531311035156,0,-0.20034077458978006,0.24850697070360184
